golden_boot_rank,player,country,position_group,american_odds,implied_golden_boot_pct,team_win_group_pct,team_reach_final_pct,team_win_world_cup_pct,source_rank,source_url,notes
1,Kylian Mbappé,France,Forward,+600,14.3%,69.7%,25.0%,16.7%,1,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
2,Harry Kane,England,Forward,+700,12.5%,76.2%,25.0%,13.3%,2,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
3,Lionel Messi,Argentina,Forward,+1200,7.7%,77.3%,19.0%,10.0%,3,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
4,Erling Haaland,Norway,Forward,+1400,6.7%,26.7%,7.7%,3.2%,4,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
5,Lamine Yamal,Spain,Forward,+1800,5.3%,81.8%,31.3%,17.4%,5,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
6,Mikel Oyarzabal,Spain,Forward,+1800,5.3%,81.8%,31.3%,17.4%,6,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
7,Cristiano Ronaldo,Portugal,Forward,+2000,4.8%,69.7%,16.7%,9.1%,7,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
8,Vinícius Júnior,Brazil,Forward,+2200,4.3%,78.7%,20.0%,11.1%,8,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
9,Lautaro Martínez,Argentina,Forward,+2500,3.8%,77.3%,19.0%,10.0%,9,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
10,Ousmane Dembélé,France,Forward,+2800,3.4%,69.7%,25.0%,16.7%,10,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
11,Romelu Lukaku,Belgium,Forward,+3000,3.2%,69.7%,7.7%,2.8%,11,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
12,Raphinha,Brazil,Forward,+3000,3.2%,78.7%,20.0%,11.1%,12,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
13,Nick Woltemade,Germany,Forward,+3500,2.8%,75.6%,15.4%,6.7%,13,https://www.rotowire.com/soccer/article/2026-world-cup-golden-boot-odds-full-player-list-mbappe-kane-haaland-108917,Position group manually normalized as Forward or Midfielder; defenders and goalkeepers excluded.
